words,value
hangout,334
google,324
today,62
amp,41
about,39
have,37
zoom,36
meeting,34
week,32
virtual,31
will,31
during,31
duo,30
video,30
come,30
only,29
chat,26
just,25
meet,25
was,24
students,22
link,21
like,21
great,21
they,21
new,21
teachers,20
time,19
more,19
class,19
hours,18
wednesday,17
out,17
had,17
day,17
friends,17
make,17
much,16
online,16
please,16
office,16
living,16
may,15
audio,15
one,14
hosting,14
talk,14
kids,14
kicking,14
literacy,14
social,14
bored,14
rooms,14
zoom_us,13
people,13
hrceliteracy,13
che,13
doing,13
thursday,13
learn,13
socially,13
distanced,13
microsoftteams,13
designersforxr,12
happy,12
see,12
tool,11
ocsbathome,11
use,10
work,10
email,10
together,10
very,10
sessions,10
being,10
tomorrow,10
justingeorge,10
jwpascale,10
tonight,10
play,10
extra,10
doodles,10
some,10
pov,10
mcfeaters,10
joke,10
call,10
msaudraabro,10
would,9
don,9
news,9
even,9
need,9
know,9
friday,9
year,9
there,9
last,9
teacher,9
through,9
special,9
guest,9
now,9
morning,9
phsfgg,9
another,9
brodytimm,9
writing,9
soon,9
been,9
things,8
exciting,8
designers,8
climate,8
debut,8
opening,8
share,8
live,8
lol,8
transit,8
covid,8
platform,7
student,7
miss,7
meetings,7
media,7
classroom,7
young,7
came,7
https,7
school,7
next,7
else,7
wahoostrength,7
wahoo,7
attending,7
participating,7
fun,7
breakfast,7
actfortransit,7
think,7
alone,7
artgerm,7
hello,7
any,7
climatecafe,6
friendly,6
thing,6
calls,6
facebook,6
set,6
team,6
started,6
since,6
access,6
plus,6
monthly,6
summer,6
twice,6
working,6
every,6
language,6
journalists,6
masks,6
rear,6
boarding,6
going,6
grade,6
done,6
sats,6
brookfieldsm,6
leoacademies,6
talking,6
background,6
book,6
home,6
sent,6
spring,6
teaching,5
made,5
lets,5
african,5
developers,5
initially,5
dekutkenya,5
expanded,5
code,5
because,5
hair,5
month,5
everything,5
these,5
hangouts,5
phone,5
birthday,5
course,5
details,5
those,5
club,5
also,5
open,5
someone,5
conference,5
ago,5
always,5
many,5
still,5
big,5
different,5
called,5
good,5
whatsapp,5
twitter,5
put,5
session,5
joining,5
thank,5
forget,5
whole,5
too,5
night,5
monday,5
app,5
love,4
really,4
face,4
wait,4
afternoon,4
reubenkihiu,4
take,4
prepared,4
wonderworkshop,4
gofourth,4
revealing,4
cosmic,4
chocolate,4
tier,4
per,4
hear,4
anything,4
were,4
wanna,4
watch,4
parent,4
party,4
wmhs,4
childs,4
dugan,4
fitz,4
flier,4
below,4
informational,4
dual,4
program,4
staff,4
second,4
schedule,4
could,4
almost,4
humpday,4
lisamonthie,4
head,4
twenty,4
told,4
hour,4
june,4
treat,4
weeks,4
pleasure,4
around,4
thought,4
facetime,4
sketch,4
watching,4
client,4
drawing,4
thanks,4
getting,4
playing,4
instead,4
messenger,4
duneauthor,4
berkley,4
penguin,4
dune,4
cover,4
guys,4
department,4
mental,4
health,4
host,4
community,4
mindfulness,4
beginning,4
feels,4
free,4
dear,4
creative,4
curious,4
tips,4
workshops,4
resources,4
best,4
youth,4
group,4
few,4
regular,4
mom,4
mother,4
webmaster,3
peer,3
listening,3
everyone,3
better,3
trying,3
episode,3
classes,3
jasminesaab,3
feel,3
tomochocopod,3
kicked,3
random,3
boxofsharpies,3
bayshoreschools,3
hel,3
misdproud,3
right,3
mute,3
yesterday,3
awards,3
provided,3
adlerplanet,3
turns,3
celebrate,3
astro,3
artists,3
dial,3
spencer,3
actually,3
imagine,3
olds,3
calling,3
mentioned,3
service,3
whatever,3
after,3
mrswalsh,3
math,3
address,3
calendar,3
without,3
seeing,3
read,3
check,3
challenge,3
using,3
person,3
trish,3
public,3
trishuna,3
jojosbizar,3
josh,3
chloe,3
enjoying,3
complete,3
shift,3
gonna,3
learning,3
skype,3
instagram,3
linkedin,3
own,3
help,3
message,3
hang,3
than,3
springisd,3
overseas,3
draft,3
posting,3
react,3
royston,3
speak,3
girls,3
works,3
said,3
novaren,3
practi,3
place,3
deduction,3
games,3
hate,3
end,3
distancing,3
hit,3
weird,3
track,3
login,3
period,3
nik_nak,3
specifically,3
messaged,3
haven,3
yeah,3
grid,3
view,3
family,3
figure,2
invite,2
families,2
killing,2
services,2
dawn,2
winner,2
breakoutedu,2
contest,2
found,2
over,2
name,2
says,2
give,2
lullyc,2
allyjcea,2
song,2
engage_learning,2
redesignpd,2
amazing,2
learned,2
customize,2
keep,2
though,2
cook,2
same,2
kindergarten,2
finally,2
aside,2
burgess,2
popping,2
wife,2
guess,2
remember,2
saying,2
jackson,2
bibamayapetal,2
meditation,2
follow,2
drama,2
interactive,2
particularly,2
excited,2
talked,2
helpouts,2
thepllpearl,2
both,2
meadsteadfs,2
training,2
fromhappyrock,2
screen,2
meets,2
used,2
taniasterling,2
alkinahan,2
felt,2
closer,2
stories,2
chrome,2
success,2
competementallytough,2
ways,2
boardeducator,2
niece,2
practicing,2
messs,2
parts,2
attended,2
favorite,2
advise,2
lady,2
poetry,2
athletes,2
ceremonies,2
maishiranui,2
interviews,2
links,2
look,2
authoritycity,2
attention,2
bring,2
times,2
must,2
starting,2
man,2
covinaathletics,2
appear,2
post,2
discussion,2
gearing,2
cityofedmonton,2
yegcc,2
stubble,2
behindeverykick,2
bek,2
olympians,2
instalive,2
hackings,2
hope,2
muruga,2
recorded,2
brooklyn,2
janne_mw,2
janne,2
three,2
olympian,2
bronze,2
medalist,2
german,2
hockey,2
captain,2
funny,2
crew,2
brother,2
weren,2
able,2
fake,2
usage,2
arrange,2
yours,2
mine,2
yammer,2
tiktok,2
idea,2
philipnolan,2
